ip,port
1.0.1.0,80
1.0.2.0,80
1.0.8.0,80
1.0.32.0,80
1.1.0.0,80
1.1.2.0,80
1.1.4.0,80
1.1.8.0,80
1.1.16.0,80
1.1.32.0,80
1.2.0.0,80
1.2.2.0,80
1.2.4.0,80
1.2.8.0,80
1.2.17.0,80
1.2.18.0,80
1.2.20.0,80
1.2.24.0,80
1.2.32.0,80
1.2.64.0,80
1.3.0.0,80
1.4.1.0,80
1.4.3.0,80
1.4.4.0,80
1.4.8.0,80
1.4.16.0,80
1.4.32.0,80
1.4.64.0,80
1.8.0.0,80
1.8.2.0,80
1.8.4.0,80
1.8.9.0,80
1.8.10.0,80
1.8.12.0,80
1.8.16.0,80
1.8.32.0,80
1.8.64.0,80
1.8.96.0,80
1.8.100.0,80
1.8.107.0,80
1.8.108.0,80
1.8.112.0,80
1.8.128.0,80
1.8.144.0,80
1.8.148.0,80
1.8.154.0,80
1.8.156.0,80
1.8.160.0,80
1.8.192.0,80
1.8.224.0,80
1.8.244.0,80
1.8.248.0,80
1.10.0.0,80
1.10.8.0,80
1.10.11.0,80
1.10.12.0,80
1.10.16.0,80
1.10.32.0,80
1.10.64.0,80
1.12.0.0,80
1.24.0.0,80
1.45.0.0,80
1.48.0.0,80
1.56.0.0,80
1.68.0.0,80
1.80.0.0,80
1.116.0.0,80
1.180.0.0,80
1.184.0.0,80
1.188.0.0,80
1.192.0.0,80
1.202.0.0,80
1.204.0.0,80
12.118.130.0,80
12.126.40.0,80
14.0.0.0,80
14.0.12.0,80
14.1.0.0,80
14.1.24.0,80
14.1.108.0,80
14.16.0.0,80
14.102.128.0,80
14.102.180.0,80
14.103.0.0,80
14.104.0.0,80
14.112.0.0,80
14.130.0.0,80
14.134.0.0,80
14.144.0.0,80
14.192.60.0,80
14.192.76.0,80
14.196.0.0,80
14.204.0.0,80
14.208.0.0,80
20.134.160.0,80
20.139.160.0,80
27.0.128.0,80
27.0.160.0,80
27.0.188.0,80
27.0.204.0,80
27.0.208.0,80
27.8.0.0,80
27.16.0.0,80
27.34.232.0,80
27.36.0.0,80
27.40.0.0,80
27.50.40.0,80
27.50.128.0,80
27.54.72.0,80
27.54.152.0,80
27.54.192.0,80
27.98.208.0,80
27.98.224.0,80
27.99.128.0,80
27.103.0.0,80
27.106.128.0,80
