city,fengxiang,yWendu,tianqi,bWendu,fengli,ymd
保定,北风~南风,-7℃,晴,5℃,微风,2015-01-01
保定,南风~西北风,-8℃,晴~霾,2℃,微风,2015-01-02
保定,南风,-6℃,霾,5℃,微风,2015-01-03
保定,南风~东北风,-4℃,霾,5℃,微风,2015-01-04
保定,北风,-8℃,晴,6℃,3-4级,2015-01-05
保定,西南风~西北风,-9℃,晴~多云,4℃,3-4级~微风,2015-01-06
保定,南风~北风,-7℃,晴~霾,4℃,微风,2015-01-07
保定,南风~北风,-7℃,霾,4℃,微风,2015-01-08
保定,北风~南风,-8℃,霾,5℃,微风,2015-01-09
保定,西北风~东北风,-6℃,霾,7℃,微风,2015-01-10
保定,北风~东北风,-4℃,晴,8℃,微风,2015-01-11
保定,南风,-6℃,晴~霾,5℃,微风,2015-01-12
保定,北风,-5℃,霾,5℃,微风,2015-01-13
保定,北风,-6℃,霾~多云,3℃,微风,2015-01-14
保定,南风~西北风,-5℃,雾~霾,2℃,微风,2015-01-15
保定,西北风~北风,-9℃,晴,5℃,3-4级~微风,2015-01-16
保定,西南风,-7℃,晴~多云,5℃,微风,2015-01-17
保定,西北风,-8℃,晴,6℃,3-4级~微风,2015-01-18
保定,南风,-8℃,晴~多云,5℃,微风,2015-01-19
保定,南风~北风,-4℃,多云~晴,4℃,微风~3-4级,2015-01-20
保定,北风~西南风,-9℃,晴,7℃,3-4级~微风,2015-01-21
保定,南风,-7℃,晴,6℃,微风,2015-01-22
保定,南风~东北风,-6℃,晴,7℃,微风,2015-01-23
保定,东北风,-7℃,小雪~多云,3℃,微风,2015-01-24
保定,南风~北风,-4℃,多云,4℃,微风,2015-01-25
保定,北风,-7℃,多云~晴,3℃,3-4级~微风,2015-01-26
保定,南风~北风,-10℃,晴,3℃,微风,2015-01-27
保定,南风~北风,-5℃,多云~阴,1℃,微风,2015-01-28
保定,北风,-10℃,晴,2℃,微风~3-4级,2015-01-29
保定,北风,-12℃,晴,3℃,微风,2015-01-30
保定,南风~西北风,-10℃,晴,5℃,微风,2015-01-31
邯郸,南风~北风,-4℃,晴,6℃,微风,2015-01-01
邯郸,北风~南风,-3℃,晴,6℃,微风,2015-01-02
邯郸,北风,-1℃,霾~晴,12℃,微风,2015-01-03
邯郸,北风,-2℃,霾~阴,10℃,微风,2015-01-04
邯郸,北风,-4℃,霾~晴,8℃,3-4级~4-5级,2015-01-05
邯郸,北风~南风,-3℃,晴~多云,5℃,微风,2015-01-06
邯郸,南风~北风,-3℃,霾~晴,5℃,微风,2015-01-07
邯郸,南风,-4℃,霾~晴,8℃,微风,2015-01-08
邯郸,南风~北风,-1℃,霾~晴,9℃,微风,2015-01-09
邯郸,南风~北风,-2℃,霾,13℃,微风,2015-01-10
邯郸,北风,-4℃,晴,8℃,3-4级~微风,2015-01-11
邯郸,北风~南风,-2℃,多云,6℃,微风,2015-01-12
邯郸,南风~北风,-4℃,霾,6℃,微风,2015-01-13
邯郸,南风,-2℃,霾,6℃,微风,2015-01-14
邯郸,北风,-3℃,霾~多云,4℃,微风,2015-01-15
邯郸,北风,-5℃,晴,6℃,3-4级,2015-01-16
邯郸,南风,-2℃,晴~多云,7℃,微风,2015-01-17
邯郸,南风,-4℃,晴,11℃,微风,2015-01-18
邯郸,南风,-2℃,晴~多云,11℃,微风,2015-01-19
邯郸,北风,0℃,阴~多云,8℃,微风,2015-01-20
邯郸,北风~南风,-5℃,晴,7℃,3-4级~微风,2015-01-21
邯郸,南风,-2℃,晴,8℃,微风,2015-01-22
邯郸,北风,-2℃,晴~多云,10℃,微风,2015-01-23
邯郸,北风,-3℃,雨夹雪~小雪,2℃,微风,2015-01-24
邯郸,北风,-3℃,多云~晴,5℃,微风,2015-01-25
邯郸,北风,-5℃,多云~晴,4℃,3-4级,2015-01-26
邯郸,北风,-4℃,晴~多云,3℃,微风,2015-01-27
邯郸,北风,-5℃,多云~小雪,2℃,微风,2015-01-28
邯郸,北风,-5℃,多云~晴,3℃,微风,2015-01-29
邯郸,北风,-6℃,晴,3℃,微风,2015-01-30
邯郸,北风,-5℃,晴~多云,4℃,微风,2015-01-31
哈尔滨,西风,-23℃,晴~多云,-14℃,3-4级~微风,2015-01-01
哈尔滨,西风,-22℃,晴,-14℃,3-4级~微风,2015-01-02
哈尔滨,西南风,-12℃,多云,-7℃,3-4级~微风,2015-01-03
哈尔滨,南风~西南风,-15℃,晴,-8℃,微风,2015-01-04
哈尔滨,西风~西北风,-20℃,多云,-4℃,4-5级~3-4级,2015-01-05
